Reference Number,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
"88","0.0","FANToM: A Benchmark for Stress-testing Machine Theory of Mind in Interactions","2023","2023-10-24","Hyunwoo Kim, Melanie Sclar, Xuhui Zhou, Ronan Le Bras, Gunhee Kim, Yejin Choi, Maarten Sap","Theory of mind (ToM) evaluations currently focus on testing models using passive narratives that inherently lack interactivity. We introduce FANToM, a new benchmark designed to stress-test ToM within information-asymmetric conversational contexts via question answering. Our benchmark draws upon important theoretical requisites from psychology and necessary empirical considerations when evaluating large language models (LLMs). In particular, we formulate multiple types of questions that demand the same underlying reasoning to identify illusory or false sense of ToM capabilities in LLMs. We show that FANToM is challenging for state-of-the-art LLMs, which perform significantly worse than humans even with chain-of-thought reasoning or fine-tuning.","ArXiv","111","54.8","10.48550/arXiv.2310.15421","https://doi.org/10.48550/arXiv.2310.15421","","true","{'url': 'https://arxiv.org/pdf/2310.15421.pdf', 'status': 'GOLD'}","088a5fa00ed6c14351209da5f53e770b51fd2909",""
"89","0.0","EPITOME: Experimental Protocol Inventory for Theory Of Mind Evaluation","","","Cameron R. Jones, Sean Trott, Benjamin Bergen","We address a growing debate about the extent to which large language models (LLMs) produce behavior consistent with Theory of Mind (ToM) in humans. We present EPITOME: a battery of six experiments that tap diverse ToM capacities, including belief attribution, emotional inference, and pragmatic reasoning. We compare performance of five LLMs to a baseline of responses from human comprehenders. Results are mixed. LLMs display considerable sensitivity to mental states and match human performance in several tasks. Yet, they commit systematic errors in others, especially those requiring pragmatic reasoning on the basis of mental state information. Such uneven performance indicates that attributing ToM to LLMs might be premature.","Journal Not Provided","10","","","https://www.semanticscholar.org/paper/f9ffaff133827b2f9eb170bfded5441809b83357","","false","","f9ffaff133827b2f9eb170bfded5441809b83357",""
"90","0.0","The Curious Case of Representational Alignment: Unravelling Visio-Linguistic Tasks in Emergent Communication","2024","2024-07-25","Tom Kouwenhoven, Max Peeperkorn, Bram van Dijk, Tessa Verhoef","Natural language has the universal properties of being compositional and grounded in reality. The emergence of linguistic properties is often investigated through simulations of emergent communication in referential games. However, these experiments have yielded mixed results compared to similar experiments addressing linguistic properties of human language. Here we address representational alignment as a potential contributing factor to these results. Specifically, we assess the representational alignment between agent image representations and between agent representations and input images. Doing so, we confirm that the emergent language does not appear to encode human-like conceptual visual features, since agent image representations drift away from inputs whilst inter-agent alignment increases. We moreover identify a strong relationship between inter-agent alignment and topographic similarity, a common metric for compositionality, and address its consequences. To address these issues, we introduce an alignment penalty that prevents representational drift but interestingly does not improve performance on a compositional discrimination task. Together, our findings emphasise the key role representational alignment plays in simulations of language emergence.","ArXiv","8","6.3","10.48550/arXiv.2407.17960","https://doi.org/10.48550/arXiv.2407.17960","","true","{'url': 'https://arxiv.org/pdf/2407.17960.pdf', 'status': 'GOLD'}","c3bf9a966f8d06bdae12c6a4975e216718a66811",""
"91","0.0","A Latent-Variable Model for Intrinsic Probing","2022","2022-01-20","Karolina Stańczak, Lucas Torroba Hennigen, Adina Williams, Ryan Cotterell, Isabelle Augenstein","The success of pre-trained contextualized representations has prompted researchers to analyze them for the presence of linguistic information. 
Indeed, it is natural to assume that these pre-trained representations do encode some level of linguistic knowledge as they have brought about large empirical improvements on a wide variety of NLP tasks, which suggests they are learning true linguistic generalization.
In this work, we focus on intrinsic probing, an analysis technique where the goal is not only to identify whether a representation encodes a linguistic attribute but also to pinpoint where this attribute is encoded.
We propose a novel latent-variable formulation for constructing intrinsic probes and derive a tractable variational approximation to the log-likelihood.
Our results show that our model is versatile and yields tighter mutual information estimates than two intrinsic probes previously proposed in the literature.
Finally, we find empirical evidence that pre-trained representations 
develop a cross-lingually entangled notion of morphosyntax.","ArXiv","4","1.1","10.1609/aaai.v37i11.26593","https://doi.org/10.1609/aaai.v37i11.26593","","true","{'url': 'https://arxiv.org/pdf/2201.08214.pdf', 'status': 'GOLD'}","c0b9c2dacf76f2a55575291c117fec7162f745d3",""
"92","0.0","Moral consideration for AI systems by 2030","2023","2023-12-11","Jeff Sebo, Robert Long","This paper makes a simple case for extending moral consideration to some AI systems by 2030. It involves a normative premise and a descriptive premise. The normative premise is that humans have a duty to extend moral consideration to beings that have a non-negligible chance, given the evidence, of being conscious. The descriptive premise is that some AI systems do in fact have a non-negligible chance, given the evidence, of being conscious by 2030. The upshot is that humans have a duty to extend moral consideration to some AI systems by 2030. And if we have a duty to do that, then we plausibly also have a duty to start preparing now, so that we can be ready to treat AI systems with respect and compassion when the time comes.","AI Ethics","24","12.7","10.1007/s43681-023-00379-1","https://doi.org/10.1007/s43681-023-00379-1","","false","","b9b9f9d2bc79d7ca4165cbe1cb10339ae165b925",""
"93","0.0","Towards Interpretable Sequence Continuation: Analyzing Shared Circuits in Large Language Models","2023","2023-11-07","Michael Lan, P. Torr, Fazl Barez","While transformer models exhibit strong capabilities on linguistic tasks, their complex architectures make them difficult to interpret. Recent work has aimed to reverse engineer transformer models into human-readable representations called circuits that implement algorithmic functions. We extend this research by analyzing and comparing circuits for similar sequence continuation tasks, which include increasing sequences of Arabic numerals, number words, and months. By applying circuit interpretability analysis, we identify a key sub-circuit in both GPT-2 Small and Llama-2-7B responsible for detecting sequence members and for predicting the next member in a sequence. Our analysis reveals that semantically related sequences rely on shared circuit subgraphs with analogous roles. Additionally, we show that this sub-circuit has effects on various math-related prompts, such as on intervaled circuits, Spanish number word and months continuation, and natural language word problems. Overall, documenting shared computational structures enables better model behavior predictions, identification of errors, and safer editing procedures. This mechanistic understanding of transformers is a critical step towards building more robust, aligned, and interpretable language models.","","7","3.5","10.18653/v1/2024.emnlp-main.699","https://doi.org/10.18653/v1/2024.emnlp-main.699","","true","{'url': 'http://arxiv.org/pdf/2311.04131', 'status': 'GOLD'}","55d9e5615404cae4dba2ad31d4f72e8abd6e9de6",""
"94","0.0","MMToM-QA: Multimodal Theory of Mind Question Answering","2024","2024-01-16","Chuanyang Jin, Yutong Wu, Jing Cao, Jiannan Xiang, Yen-Ling Kuo, Zhiting Hu, T. Ullman, Antonio Torralba, Joshua B. Tenenbaum, Tianmin Shu","Theory of Mind (ToM), the ability to understand people's mental states, is an essential ingredient for developing machines with human-level social intelligence. Recent machine learning models, particularly large language models, seem to show some aspects of ToM understanding. However, existing ToM benchmarks use unimodal datasets - either video or text. Human ToM, on the other hand, is more than video or text understanding. People can flexibly reason about another person's mind based on conceptual representations (e.g., goals, beliefs, plans) extracted from any available data. To address this, we introduce a multimodal Theory of Mind question answering (MMToM-QA) benchmark. MMToM-QA comprehensively evaluates machine ToM both on multimodal data and on different kinds of unimodal data about a person's activity in a household environment. To engineer multimodal ToM capacity, we propose a novel method, BIP-ALM (Bayesian Inverse Planning Accelerated by Language Models). BIP-ALM extracts unified representations from multimodal data and utilizes language models for scalable Bayesian inverse planning. We conducted a systematic comparison of human performance, BIP-ALM, and state-of-the-art models, including GPT-4. The experiments demonstrate that large language models and large multimodal models still lack robust ToM capacity. BIP-ALM, on the other hand, shows promising results, by leveraging the power of both model-based mental inference and language models.","ArXiv","61","34","10.48550/arXiv.2401.08743","https://doi.org/10.48550/arXiv.2401.08743","","true","{'url': 'https://arxiv.org/pdf/2401.08743.pdf', 'status': 'GOLD'}","18155f3818e12f33d926f180b92a5c1f68e22f93",""
"95","0.0","Artificial Intelligence and the Illusion of Understanding: A Systematic Review of Theory of Mind and Large Language Models","2025","2025-05-07","Antonella Marchetti, F. Manzi, Giuseppe Riva, A. Gaggioli, D. Massaro","The development of Large Language Models (LLMs) has sparked significant debate regarding their capacity for Theory of Mind (ToM)-the ability to attribute mental states to oneself and others. This systematic review examines the extent to which LLMs exhibit Artificial ToM (AToM) by evaluating their performance on ToM tasks and comparing it with human responses. While LLMs, particularly GPT-4, perform well on first-order false belief tasks, they struggle with more complex reasoning, such as second-order beliefs and recursive inferences, where humans consistently outperform them. Moreover, the review underscores the variability in ToM assessments, as many studies adapt classical tasks for LLMs, raising concerns about comparability with human ToM. Most evaluations remain constrained to text-based tasks, overlooking embodied and multimodal dimensions crucial to human social cognition. This review discusses the ""illusion of understanding"" in LLMs for two primary reasons: First, their lack of the developmental and cognitive mechanisms necessary for genuine ToM, and second, methodological biases in test designs that favor LLMs' strengths, limiting direct comparisons with human performance. The findings highlight the need for more ecologically valid assessments and interdisciplinary research to better delineate the limitations and potential of AToM. This set of issues is highly relevant to psychology, as language is generally considered just one component in the broader development of human ToM, a perspective that contrasts with the dominant approach in AToM studies. This discrepancy raises critical questions about the extent to which human ToM and AToM are comparable.","Cyberpsychology, behavior and social networking","1","2","10.1089/cyber.2024.0536","https://doi.org/10.1089/cyber.2024.0536","","false","","bcbb02a484ca501dcedd8bc6be0c56cf69e42b2a",""
"96","0.0","Explore Theory of Mind: Program-guided adversarial data generation for theory of mind reasoning","2024","2024-12-12","Melanie Sclar, Jane Yu, Maryam Fazel-Zarandi, Yulia Tsvetkov, Yonatan Bisk, Yejin Choi, Asli Celikyilmaz","Do large language models (LLMs) have theory of mind? A plethora of papers and benchmarks have been introduced to evaluate if current models have been able to develop this key ability of social intelligence. However, all rely on limited datasets with simple patterns that can potentially lead to problematic blind spots in evaluation and an overestimation of model capabilities. We introduce ExploreToM, the first framework to allow large-scale generation of diverse and challenging theory of mind data for robust training and evaluation. Our approach leverages an A* search over a custom domain-specific language to produce complex story structures and novel, diverse, yet plausible scenarios to stress test the limits of LLMs. Our evaluation reveals that state-of-the-art LLMs, such as Llama-3.1-70B and GPT-4o, show accuracies as low as 0% and 9% on ExploreToM-generated data, highlighting the need for more robust theory of mind evaluation. As our generations are a conceptual superset of prior work, fine-tuning on our data yields a 27-point accuracy improvement on the classic ToMi benchmark (Le et al., 2019). ExploreToM also enables uncovering underlying skills and factors missing for models to show theory of mind, such as unreliable state tracking or data imbalances, which may contribute to models' poor performance on benchmarks.","ArXiv","16","18","10.48550/arXiv.2412.12175","https://doi.org/10.48550/arXiv.2412.12175","","true","{'url': 'https://arxiv.org/pdf/2412.12175.pdf', 'status': 'GOLD'}","3c52a1e1c3dc0ef5e1e638e11bbc3a2f09900dc6",""
"97","0.0","Relational composition during attribute retrieval in GPT is not purely linear","","","Michael B. McCoy, Anna Leshinskaya","The longstanding question of how neural networks could implement relational composition has been buoyed by recent success showing relational abstraction in transformer-based large language models (LLMs). We address recent findings showing some, but imperfect, generalizability in linear composition during knowledge retrieval of attributive triplets such as has-color (banana, yellow) in GPT-J [Hernandez, E. et al, (2024). Linearity of relation decoding in transformer language models (arXiv:2308.09124)]. We report that limitations to relational generalization are explainable by two systematic factors. First, relational combinations that are more accurately retrieved generalize better than uncertain or inaccurate ones. Second, relational generalization scales with the semantic similarity of the entities being bound, showing that it is in fact non-linearly dependent on component meanings rather than being purely invariant. This aligns with longstanding findings that human judgments of adjectival combinations are likewise non-linearly interactive.","Journal Not Provided","0","0","","https://www.semanticscholar.org/paper/a97d12cb3b96de918560d24d0b3c8ea8e66d5c57","","false","","a97d12cb3b96de918560d24d0b3c8ea8e66d5c57",""
"98","0.0","Sensitivity Meets Sparsity: The Impact of Extremely Sparse Parameter Patterns on Theory-of-Mind of Large Language Models","2025","2025-04-05","Yuheng Wu, Wentao Guo, Zirui Liu, Heng Ji, Zhaozhuo Xu, Denghui Zhang","This paper investigates the emergence of Theory-of-Mind (ToM) capabilities in large language models (LLMs) from a mechanistic perspective, focusing on the role of extremely sparse parameter patterns. We introduce a novel method to identify ToM-sensitive parameters and reveal that perturbing as little as 0.001% of these parameters significantly degrades ToM performance while also impairing contextual localization and language understanding. To understand this effect, we analyze their interaction with core architectural components of LLMs. Our findings demonstrate that these sensitive parameters are closely linked to the positional encoding module, particularly in models using Rotary Position Embedding (RoPE), where perturbations disrupt dominant-frequency activations critical for contextual processing. Furthermore, we show that perturbing ToM-sensitive parameters affects LLM's attention mechanism by modulating the angle between queries and keys under positional encoding. These insights provide a deeper understanding of how LLMs acquire social reasoning abilities, bridging AI interpretability with cognitive science. Our results have implications for enhancing model alignment, mitigating biases, and improving AI systems designed for human interaction.","ArXiv","0","0","10.48550/arXiv.2504.04238","https://doi.org/10.48550/arXiv.2504.04238","","true","{'url': 'https://arxiv.org/pdf/2504.04238.pdf', 'status': 'GOLD'}","a17273b4f6120f7cb0c1f4f11fc04e189d662284",""
"99","0.0","Tests of Animal Consciousness are Tests of Machine Consciousness","2023","2023-11-14","L. Dung","If a machine attains consciousness, how could we find out? In this paper, I make three related claims regarding positive tests of machine consciousness. All three claims center on the idea that an AI can be constructed “ad hoc”, that is, with the purpose of satisfying a particular test of consciousness while clearly not being conscious. First, a proposed test of machine consciousness can be legitimate, even if AI can be constructed ad hoc specifically to pass this test. This is underscored by the observation that many, if not all, putative tests of machine consciousness can be passed by non-conscious machines via ad hoc means. Second, we can identify ad hoc AI by taking inspiration from the notion of an ad hoc hypothesis in philosophy of science. Third, given the first and the second claim, the most reliable tests of animal consciousness turn out to be valid and useful positive tests of machine consciousness as well. If a non-ad hoc AI exhibits clusters of cognitive capacities facilitated by consciousness in humans which can be selectively switched off by masking and if it reproduces human behavior in suitably designed double dissociation tasks, we should treat the AI as conscious.","Erkenntnis","13","6.6","10.1007/s10670-023-00753-9","https://doi.org/10.1007/s10670-023-00753-9","","false","","3e60842de01d3728865ada291a3f38d391078f49",""
"100","0.0","Circuit Compositions: Exploring Modular Structures in Transformer-Based Language Models","2024","2024-10-02","Philipp Mondorf, Sondre Wold, Barbara Plank","A fundamental question in interpretability research is to what extent neural networks, particularly language models, implement reusable functions through subnetworks that can be composed to perform more complex tasks. Recent advances in mechanistic interpretability have made progress in identifying $\textit{circuits}$, which represent the minimal computational subgraphs responsible for a model's behavior on specific tasks. However, most studies focus on identifying circuits for individual tasks without investigating how functionally similar circuits $\textit{relate}$ to each other. To address this gap, we study the modularity of neural networks by analyzing circuits for highly compositional subtasks within a transformer-based language model. Specifically, given a probabilistic context-free grammar, we identify and compare circuits responsible for ten modular string-edit operations. Our results indicate that functionally similar circuits exhibit both notable node overlap and cross-task faithfulness. Moreover, we demonstrate that the circuits identified can be reused and combined through set operations to represent more complex functional model capabilities.","ArXiv","2","1.8","10.48550/arXiv.2410.01434","https://doi.org/10.48550/arXiv.2410.01434","","true","{'url': 'https://arxiv.org/pdf/2410.01434.pdf', 'status': 'GOLD'}","95e8b525668934cd5fec2366e7cca47eedd90161",""
"101","0.0","CausaLM: Causal Model Explanation Through Counterfactual Language Models","2020","2020-05-27","Amir Feder, Nadav Oved, Uri Shalit, Roi Reichart","Abstract Understanding predictions made by deep neural networks is notoriously difficult, but also crucial to their dissemination. As all machine learning–based methods, they are as good as their training data, and can also capture unwanted biases. While there are tools that can help understand whether such biases exist, they do not distinguish between correlation and causation, and might be ill-suited for text-based models and for reasoning about high-level language concepts. A key problem of estimating the causal effect of a concept of interest on a given model is that this estimation requires the generation of counterfactual examples, which is challenging with existing generation technology. To bridge that gap, we propose CausaLM, a framework for producing causal model explanations using counterfactual language representation models. Our approach is based on fine-tuning of deep contextualized embedding models with auxiliary adversarial tasks derived from the causal graph of the problem. Concretely, we show that by carefully choosing auxiliary adversarial pre-training tasks, language representation models such as BERT can effectively learn a counterfactual representation for a given concept of interest, and be used to estimate its true causal effect on model performance. A byproduct of our method is a language representation model that is unaffected by the tested concept, which can be useful in mitigating unwanted bias ingrained in the data.1","Computational Linguistics","168","30.9","10.1162/coli_a_00404","https://doi.org/10.1162/coli_a_00404","","true","{'url': 'https://arxiv.org/pdf/2005.13407.pdf', 'status': 'GOLD'}","4f0318290bc75294338fdeb450e4365929b3aa0c",""
"102","0.0","Dissociable Neural Mechanisms for Human Inference Processing Predicted by Static and Contextual Language Models","2022","2022-11-14","Takahisa Uchida, Nicolas Lair, H. Ishiguro, P. Dominey","Abstract Language models (LMs) continue to reveal non-trivial relations to human language performance and the underlying neurophysiology. Recent research has characterized how word embeddings from an LM can be used to generate integrated discourse representations in order to perform inference on events. The current research investigates how such event knowledge may be coded in distinct manners in different classes of LMs and how this maps onto different forms of human inference processing. To do so, we investigate inference on events using two well-documented human experimental protocols from Metusalem et al. (2012) and McKoon and Ratcliff (1986), compared with two protocols for simpler semantic processing. Interestingly, this reveals a dissociation in the relation between local semantics versus event-inference depending on the LM. In a series of experiments, we observed that for the static LMs (word2vec/GloVe), there was a clear dissociation in the relation between semantics and inference for the two inference tasks. In contrast, for the contextual LMs (BERT/RoBERTa), we observed a correlation between semantic and inference processing for both inference tasks. The experimental results suggest that inference as measured by Metusalem and McKoon rely on dissociable processes. While the static models are able to perform Metusalem inference, only the contextual models succeed in McKoon inference. Interestingly, these dissociable processes may be linked to well-characterized automatic versus strategic inference processes in the psychological literature. This allows us to make predictions about dissociable neurophysiological markers that should be found during human inference processing with these tasks.","Neurobiology of Language","3","1","10.1162/nol_a_00090","https://doi.org/10.1162/nol_a_00090","","false","","c4adf0258c55288066bf0d7726ebc9052a278ff7",""
"103","0.0","Digital suffering: why it’s a problem and how to prevent it","2022","2022-11-23","Bradford Saad, A. Bradley","As ever more advanced digital systems are created, it becomes increasingly likely that some of these systems will be digital minds , i.e. digital subjects of experience. With digital minds comes the risk of digital su ﬀ ering. The problem of digital su ﬀ ering is that of mitigating this risk. We argue that the problem of digital su ﬀ ering is a high stakes moral problem and that formidable epistemic obstacles stand in the way of solving it. We then propose a strategy for solving it: Access Monitor Prevent (AMP). AMP uses a ‘ dancing qualia ’ argument to link the functional states of certain digital systems to their experiences — this yields epistemic access to digital minds. With that access, we can prevent digital su ﬀ ering by only creating advanced digital systems that we have such access to, monitoring their functional pro ﬁ les, and preventing them from entering states with functional markers of su ﬀ ering. After introducing and motivating AMP, we confront limitations it faces and identify some options for overcoming them. We argue that AMP ﬁ ts especially well with — and so provides a moral reason to prioritize — one approach to creating such systems: whole brain emulation. We also contend that taking other paths to digital minds would be morally risky.","Inquiry","8","2.7","10.1080/0020174x.2022.2144442","https://doi.org/10.1080/0020174x.2022.2144442","","false","","5f2e93504d5539fea0cbf9075ba281911f13ab34",""
"104","0.0","Beyond Pattern Recognition: Probing Mental Representations of LMs","2025","2025-02-23","Moritz Miller, Kumar Shridhar","Language Models (LMs) have demonstrated impressive capabilities in solving complex reasoning tasks, particularly when prompted to generate intermediate explanations. However, it remains an open question whether these intermediate reasoning traces represent a dynamic, evolving thought process or merely reflect sophisticated pattern recognition acquired during large scale pre training. Drawing inspiration from human cognition, where reasoning unfolds incrementally as new information is assimilated and internal models are continuously updated, we propose to delve deeper into the mental model of various LMs. We propose a new way to assess the mental modeling of LMs, where they are provided with problem details gradually, allowing each new piece of data to build upon and refine the model's internal representation of the task. We systematically compare this step by step mental modeling strategy with traditional full prompt methods across both text only and vision and text modalities. Experiments on the MathWorld dataset across different model sizes and problem complexities confirm that both text-based LLMs and multimodal LMs struggle to create mental representations, questioning how their internal cognitive processes work.","ArXiv","0","0","10.48550/arXiv.2502.16717","https://doi.org/10.48550/arXiv.2502.16717","","true","{'url': 'https://arxiv.org/pdf/2502.16717.pdf', 'status': 'GOLD'}","7d452a8739be671474b7b44ca3bcd3592fc6faad",""
"105","0.0","Evaluating large language models in theory of mind tasks","2023","2023-02-04","Michal Kosinski","Significance Humans automatically and effortlessly track others’ unobservable mental states, such as their knowledge, intentions, beliefs, and desires. This ability—typically called “theory of mind” (ToM)—is fundamental to human social interactions, communication, empathy, consciousness, moral judgment, and religious beliefs. Our results show that recent large language models (LLMs) can solve false-belief tasks, typically used to evaluate ToM in humans. Regardless of how we interpret these outcomes, they signify the advent of more powerful and socially skilled AI—with profound positive and negative implications.","Proceedings of the National Academy of Sciences of the United States of America","196","71.4","10.1073/pnas.2405460121","https://doi.org/10.1073/pnas.2405460121","","true","{'url': 'https://arxiv.org/pdf/2302.02083.pdf', 'status': 'GOLD'}","3d48f1b4f69f7d22a47fa1599a1fc76277ba0c65",""
"106","0.0","Error Detection and Representational Mechanisms","2020","2020-12-03","K. Bielecka, M. Miłkowski","This chapter defends a mechanistic and teleosemantic view of naturalized intentionality that underlies the role of error detection via coherence checking. Representational mechanisms serve the biological functions of representing, which are related to the semantic value of representation: its truth or falsity, its being vacuous or satisfied, or its accuracy. If representational mechanisms contain (or interact with) error-detection mechanisms, the semantic value of representation is causally relevant. As long as semantic value is causally relevant in cognitive explanations, the content of representation is arguably causally relevant, which vindicates the notion of mental representation in contemporary scientific research. Error detection is understood mechanistically in terms of coherence checking, which is purely computational and does not presuppose any semantic function. This chapter analyzes this conceptually and demonstrates that this account is descriptively adequate by citing a recent experiment on zebra finches, even though discrepancy detection is not always related to intentionality.","","6","1.2","10.1093/OSO/9780190686673.003.0011","https://doi.org/10.1093/OSO/9780190686673.003.0011","","false","","eccf5eeb682843a036aaf57f1d58662cba249acc",""
"107","0.0","How to deal with risks of AI suffering","2023","2023-07-22","L. Dung","","Inquiry","7","3.1","10.1080/0020174x.2023.2238287","https://doi.org/10.1080/0020174x.2023.2238287","","false","","6116f52cc5262b39d86e698c1a0d3b7423087467",""
"108","0.0","ECM: A Unified Electronic Circuit Model for Explaining the Emergence of In-Context Learning and Chain-of-Thought in Large Language Model","2025","2025-02-05","Qiguang Chen, Libo Qin, Jinhao Liu, Dengyun Peng, Jiaqi Wang, Mengkang Hu, Zhi Chen, Wanxiang Che, Ting Liu","Recent advancements in large language models (LLMs) have led to significant successes across various applications, where the most noticeable is to a series of emerging capabilities, particularly in the areas of In-Context Learning (ICL) and Chain-of-Thought (CoT). To better understand and control model performance, many studies have begun investigating the underlying causes of these phenomena and their impact on task outcomes. However, existing explanatory frameworks predominantly focus on isolating and explaining ICL and CoT independently, leading to an incomplete understanding of their combined influence on model performance. To address this gap, we propose the Electronic Circuit Model (ECM), which provides a foundation for developing scalable, learnable policies and improving the management of AI-generated content. Specifically, ECM conceptualizes model behavior as an electronic circuit: ICL is represented as semantic magnetic field to providing an additional voltage following Faraday's Law, while CoT is modeled as series resistors to constrain the model output performance following Ohm's Law. Experimental results demonstrate that the ECM effectively predicts and explains LLM performance across a variety of prompting strategies. Furthermore, we apply ECM to advanced reasoning strategy optimization on a series of tasks, such as the International Olympiad in Informatics (IOI) and the International Mathematical Olympiad (IMO), achieving competitive performance that surpasses nearly 80% of top human competitors.","ArXiv","4","5.4","10.48550/arXiv.2502.03325","https://doi.org/10.48550/arXiv.2502.03325","","true","{'url': 'https://arxiv.org/pdf/2502.03325.pdf', 'status': 'GOLD'}","f53b428b0acae1baba6cfe6daf3b491d4daeee9c",""
"109","0.0","Language Models Can Predict Their Own Behavior","2025","2025-02-18","Dhananjay Ashok, Jonathan May","The text produced by language models (LMs) can exhibit specific `behaviors,'such as a failure to follow alignment training, that we hope to detect and react to during deployment. Identifying these behaviors can often only be done post facto, i.e., after the entire text of the output has been generated. We provide evidence that there are times when we can predict how an LM will behave early in computation, before even a single token is generated. We show that probes trained on the internal representation of input tokens alone can predict a wide range of eventual behaviors over the entire output sequence. Using methods from conformal prediction, we provide provable bounds on the estimation error of our probes, creating precise early warning systems for these behaviors. The conformal probes can identify instances that will trigger alignment failures (jailbreaking) and instruction-following failures, without requiring a single token to be generated. An early warning system built on the probes reduces jailbreaking by 91%. Our probes also show promise in pre-emptively estimating how confident the model will be in its response, a behavior that cannot be detected using the output text alone. Conformal probes can preemptively estimate the final prediction of an LM that uses Chain-of-Thought (CoT) prompting, hence accelerating inference. When applied to an LM that uses CoT to perform text classification, the probes drastically reduce inference costs (65% on average across 27 datasets), with negligible accuracy loss. Encouragingly, probes generalize to unseen datasets and perform better on larger models, suggesting applicability to the largest of models in real-world settings.","ArXiv","5","7.1","10.48550/arXiv.2502.13329","https://doi.org/10.48550/arXiv.2502.13329","","true","{'url': 'https://arxiv.org/pdf/2502.13329.pdf', 'status': 'GOLD'}","00e4b4b8f3bff21ffedbd5d47f3dfc1b2b1e2740",""
"110","0.0","Do Theory of Mind Benchmarks Need Explicit Human-like Reasoning in Language Models?","2025","2025-04-02","Yi-Long Lu, Chunhui Zhang, Jiajun Song, Lifeng Fan, Wei Wang","Theory of Mind (ToM), the ability to attribute mental states to others, is fundamental for human social intelligence and a critical capability for advanced Artificial Intelligence. Recent advancements in Large Language Models (LLMs) have shown promising performance on ToM benchmarks, raising the question: Do these benchmarks necessitate explicit human-like reasoning processes, or can models succeed through alternative strategies? We investigate this question empirically by applying Reinforcement Learning (RL) and Supervised Fine-Tuning (SFT) to LLMs of varying scales (0.5B to 7B parameters) and evaluating them across multiple ToM datasets. Our results reveal a scale-dependent impact of RL: while RL significantly improves accuracy and fosters high-quality, interpretable, and transferable belief-tracking reasoning in larger models (7B), it leads to""reasoning collapse""in smaller models ($\leq$3B), where high accuracy and generalization ability are achieved via drastically shortened, less meaningful responses. Surprisingly, further SFT achieves competitive and generalizable performance across these benchmarks, often matching or exceeding RL models in accuracy, despite not being explicitly trained to produce structured reasoning traces. These findings highlight a critical discrepancy between benchmark accuracy and the nature of learned reasoning. Our work suggests that current ToM benchmarks may be solvable without requiring the explicit, human-like simulation of mental states they were designed to probe. LLMs, particularly when scale is limited or training signals focus solely on output correctness, may leverage alternative rules effective for benchmark data structures.","ArXiv","1","1.7","","https://arxiv.org/abs/2504.01698","","true","{'url': 'https://arxiv.org/pdf/2504.01698.pdf', 'status': 'GOLD'}","1b5b9fad9f97feefaf10c9f1e9685bed321dc3f2",""
"111","0.0","Exploring Alternative Approaches to Language Modeling for Learning from Data and Knowledge","2024","2024-05-20","Yuxin Zi, Kaushik Roy, Vignesh Narayanan, Amit P. Sheth","Despite their extensive application in language understanding tasks, large language models (LLMs) still encounter challenges including hallucinations - occasional fabrication of information - and alignment issues - lack of associations with human-curated world models (e.g., intuitive physics or common-sense knowledge). Moreover, the black-box nature of LLMs presents significant obstacles in training them effectively to achieve desired behaviors. In particular, modifying the concept embedding spaces of LLMs can be highly intractable. This process involves analyzing the implicit impact of such adjustments on the myriad parameters within LLMs and the resulting inductive biases. We propose a novel architecture that wraps powerful function approximation architectures within an outer, interpretable read-out layer. This read-out layer can be scrutinized to explicitly observe the effects of concept modeling during the training of the LLM. Our method stands in contrast with gradient-based implicit mechanisms, which depend solely on adjustments to the LLM parameters and thus evade scrutiny. By conducting extensive experiments across both generative and discriminative language modeling tasks, we evaluate the capabilities of our proposed architecture relative to state-of-the-art LLMs of similar sizes. Additionally, we offer a qualitative examination of the interpretable read-out layer and visualize the concepts it captures. The results demonstrate the potential of our approach for effectively controlling LLM hallucinations and enhancing the alignment with human expectations.","","1","0.7","10.1609/aaaiss.v3i1.31211","https://doi.org/10.1609/aaaiss.v3i1.31211","","false","","1e34c156749d7d7e0f7043c7472b52df268ddf59",""
